brand,product,url,imgSrc,name,categories,specific,hex,lightness,namingScheme
Milani,Screen Queen Foundation,https://www.ulta.com/screen-queen-foundation?productId=pimprod2012994,https://images.ulta.com/is/image/Ulta/2558931sw?$50px$,warm nude,"descriptor, skin",NA,#F6D7B9,0.8450980392,nude
MILK MAKEUP,Flex Foundation Stick,https://www.sephora.com/product/flex-foundation-stick-P448151?icid2=products%20grid:p448151,/productimages/sku/s2242071+sw.jpg,golden nude,"descriptor, skin",NA,#DEAE86,0.6980392157,nude
MILK MAKEUP,Flex Foundation Stick,https://www.sephora.com/product/flex-foundation-stick-P448151?icid2=products%20grid:p448151,/productimages/sku/s2242048+sw.jpg,nude,skin,NA,#E4B296,0.7411764706,nude
NYX Professional Makeup,Born To Glow Naturally Radiant Foundation,https://www.ulta.com/born-glow-naturally-radiant-foundation?productId=pimprod2006994,https://images.ulta.com/is/image/Ulta/2546628sw?$50px$,nude,skin,NA,#D4B28D,0.6921568627,nude
NYX Professional Makeup,Can't Stop Won't Stop Foundation,https://www.ulta.com/cant-stop-wont-stop-foundation?productId=xlsImpprod18871063,https://images.ulta.com/is/image/Ulta/2531994sw?$50px$,nude,skin,NA,#CAB08F,0.6764705882,nude
NYX Professional Makeup,Stay Matte Powder Foundation,https://www.ulta.com/stay-matte-powder-foundation?productId=xlsImpprod4141615,https://images.ulta.com/is/image/Ulta/2242594sw?$50px$,nude,skin,NA,#EAD2AE,0.8,nude
NYX Professional Makeup,Total Control Pro Drop Foundation,https://www.ulta.com/total-control-pro-drop-foundation?productId=pimprod2022024,https://images.ulta.com/is/image/Ulta/2565865sw?$50px$,nude,skin,NA,#D6B48F,0.7,nude
PÜR,4-In-1 Love Your Selfie Longwear Foundation & Concealer,https://www.ulta.com/4-in-1-love-your-selfie-longwear-foundation-concealer?productId=pimprod2005671,https://images.ulta.com/is/image/Ulta/2544515sw?$50px$,light nude,"descriptor, skin",LN6,#DCC4B0,0.7764705882,nude
PÜR,4-In-1 Love Your Selfie Longwear Foundation & Concealer,https://www.ulta.com/4-in-1-love-your-selfie-longwear-foundation-concealer?productId=pimprod2005671,https://images.ulta.com/is/image/Ulta/2544519sw?$50px$,light nude,"descriptor, skin",LG6,#E5CAB0,0.7941176471,nude
PÜR,4-In-1 Love Your Selfie Longwear Foundation & Concealer,https://www.ulta.com/4-in-1-love-your-selfie-longwear-foundation-concealer?productId=pimprod2005671,https://images.ulta.com/is/image/Ulta/2544521sw?$50px$,warm nude,"descriptor, skin",TP2,#D3B29F,0.7254901961,nude
